wine_name,grape_name,wine_ratings_average,wine_ratings_count
Cabernet Sauvignon,Cabernet Sauvignon,4.8,2941
Amarone della Valpolicella Classico Riserva,Merlot,4.8,587
Amarone della Valpolicella Classico Riserva,Chardonnay,4.8,587
Fratini Bolgheri Superiore,Merlot,4.8,153
Fratini Bolgheri Superiore,Chardonnay,4.8,153
Special Selection Cabernet Sauvignon,Cabernet Sauvignon,4.7,41236
Toscana,Merlot,4.7,16284
Toscana,Chardonnay,4.7,16284
Amarone della Valpolicella Classico,Merlot,4.7,8900
Amarone della Valpolicella Classico,Chardonnay,4.7,8900
Amarone della Valpolicella Monte Lodoletta,Merlot,4.7,7947
Amarone della Valpolicella Monte Lodoletta,Chardonnay,4.7,7947
Harlan Estate Red,Cabernet Sauvignon,4.7,7231
Cerretalto Brunello di Montalcino,Merlot,4.7,5373
Cerretalto Brunello di Montalcino,Chardonnay,4.7,5373
Barolo Riserva Monfortino,Merlot,4.7,5013
Barolo Riserva Monfortino,Chardonnay,4.7,5013
IX Estate Red,Cabernet Sauvignon,4.7,2810
Veneto Alzero Cabernet,Merlot,4.7,2600
Veneto Alzero Cabernet,Chardonnay,4.7,2600
Harlequin,Merlot,4.7,1276
Harlequin,Chardonnay,4.7,1276
La Mattonara Amarone della Valpolicella Classico Riserva,Merlot,4.7,1196
La Mattonara Amarone della Valpolicella Classico Riserva,Chardonnay,4.7,1196
Recioto della Valpolicella Classico,Merlot,4.7,1045
Recioto della Valpolicella Classico,Chardonnay,4.7,1045
De Buris Amarone della Valpolicella Classico Riserva,Merlot,4.7,574
De Buris Amarone della Valpolicella Classico Riserva,Chardonnay,4.7,574
Fieramonte Amarone della Valpolicella Riserva,Merlot,4.7,315
Fieramonte Amarone della Valpolicella Riserva,Chardonnay,4.7,315
Permassimo,Merlot,4.7,186
Permassimo,Chardonnay,4.7,186
Cabernet Sauvignon,Cabernet Sauvignon,4.6,157944
Sassicaia,Merlot,4.6,107646
Sassicaia,Chardonnay,4.6,107646
Opus One,Cabernet Sauvignon,4.6,77053
Bolgheri Superiore,Merlot,4.6,47939
Bolgheri Superiore,Chardonnay,4.6,47939
Tenuta Tignanello 'Solaia',Merlot,4.6,33143
Tenuta Tignanello 'Solaia',Chardonnay,4.6,33143
Insignia,Cabernet Sauvignon,4.6,30674
Rutherford,Cabernet Sauvignon,4.6,16322
Cabernet Sauvignon (Signature),Cabernet Sauvignon,4.6,13730
'Giulio Ferrari' Riserva del Fondatore,Merlot,4.6,12592
'Giulio Ferrari' Riserva del Fondatore,Chardonnay,4.6,12592
Sperss Barolo,Merlot,4.6,10950
Sperss Barolo,Chardonnay,4.6,10950
Kurni Marche,Merlot,4.6,10261
Kurni Marche,Chardonnay,4.6,10261
CASK 23 Cabernet Sauvignon,Cabernet Sauvignon,4.6,9464
Continuum Estate,Cabernet Sauvignon,4.6,6949
Rubicon,Cabernet Sauvignon,4.6,6421
Cabernet Sauvignon,Cabernet Sauvignon,4.6,5927
Les Pavots,Cabernet Sauvignon,4.6,4010
Sorì Tildìn (Barbaresco) Langhe,Merlot,4.6,3955
Sorì Tildìn (Barbaresco) Langhe,Chardonnay,4.6,3955
